Nom base français;Nom attribut français;Nom frontière français;Tags français;Unité français;Sous-localisation géographique français;Incertitude;Total poste non décomposé;Code de la catégorie;Sous catégorie 1;Sous catégorie 2;Sous catégorie 3;Sous catégorie 4
Agglomérés de houille;;;combustible solide,charbon,agglomérés de houille;kgCO2e/kg;;20;3,35;Combustibles ; Fossiles ; Solides ; Charbons;
Anthracite;;;combustible solide,charbon,anthracite;kgCO2e/kg;;20;2,87;Combustibles ; Fossiles ; Solides ; Charbons;
Biodiesel;changement d'affectation des sols scénario maximum;;;kgCO2e/litre;;20;7,17;Combustibles ; Organiques ; Liquides;;
Biodiesel;changement d'affectation des sols scénario maximum;;;kgCO2e/tonne;;20;8058;Combustibles ; Organiques ; Liquides;;
Biodiesel;changement d'affectation des sols scénario optimiste;;;kgCO2e/litre;;20;0,434;Combustibles ; Organiques ; Liquides;;
Biodiesel;changement d'affectation des sols scénario optimiste;;;kgCO2e/tonne;;20;486;Combustibles ; Organiques ; Liquides;;
Biodiesel;Filière Colza;sans changement d'affectation des sols;;kgCO2e/Litre;;20;1,23;Combustibles ; Organiques ; Liquides;;
Biodiesel;Filière EMGA;sans changement d'affectation des sols;;kgCO2e/Litre;;20;0,278;Combustibles ; Organiques ; Liquides;;
Biodiesel;Filière EMHAU;sans changement d'affectation des sols;;kgCO2e/Litre;;20;0,288;Combustibles ; Organiques ; Liquides;;
Biodiesel;Filière HVP;sans changement d'affectation des sols;;kgCO2e/Litre;;20;1,05;Combustibles ; Organiques ; Liquides;;
Biodiesel;Filière Palme;sans changement d'affectation des sols;;kgCO2e/Litre;;20;0,722;Combustibles ; Organiques ; Liquides;;
Biodiesel;Filière Soja;sans changement d'affectation des sols;;kgCO2e/Litre;;20;0,732;Combustibles ; Organiques ; Liquides;;
Biodiesel;Filière Tournesol;sans changement d'affectation des sols;;kgCO2e/Litre;;20;0,831;Combustibles ; Organiques ; Liquides;;
Biodiesel;sans changement d'affectation des sols;;;kgCO2e/litre;;20;1,01;Combustibles ; Organiques ; Liquides;;
Biodiesel;sans changement d'affectation des sols;;;kgCO2e/tonne;;20;1135;Combustibles ; Organiques ; Liquides;;
Bioéthanol;changement d'affectation des sols scénario maximum;;;kgCO2e/litre;;20;4,79;Combustibles ; Organiques ; Liquides;;
Bioéthanol;changement d'affectation des sols scénario maximum;;;kgCO2e/tonne;;20;6072;Combustibles ; Organiques ; Liquides;;
Bioéthanol;changement d'affectation des sols scénario optimiste;;;kgCO2e/litre;;20;0,713;Combustibles ; Organiques ; Liquides;;
Bioéthanol;changement d'affectation des sols scénario optimiste;;;kgCO2e/tonne;;20;902;Combustibles ; Organiques ; Liquides;;
Bioéthanol;sans changement d'affectation des sols;;;kgCO2e/litre;;20;0,848;Combustibles ; Organiques ; Liquides;;
Bioéthanol;sans changement d'affectation des sols;;;kgCO2e/tonne;;20;1073;Combustibles ; Organiques ; Liquides;;
BioGNC -Biométhane comprimé;Pour véhicule routier;Mix Moyen;Biométhane,EnR,biogaz,gaz renouvelable,gaz vert,BioGNV,Biométhane carburant;kgCO2e/m3;;70;0,481;Combustibles ; Organiques ; Gazeux;;
Biométhane;Injecté dans les réseaux;Mix moyen;Biométhane,EnR,biogaz,gaz renouvelable,gaz vert;kgCO2e/m3;;20;0,451;Combustibles ; Organiques ; Gazeux;;
Biopropane;à base d'huile de colza;;combustible gazeux,biopropane,HVO,gaz,huiles végétales hydro-traitées,Huile de colza;kgCO2e/kg;;20;1,82;Combustibles ; Organiques ; Gazeux;;
Biopropane;à base d'huile de colza;;combustible gazeux,biopropane,HVO,gaz,huiles végétales hydro-traitées,Huile de colza;kgCO2e/litre;;20;0,944;Combustibles ; Organiques ; Gazeux;;
Biopropane;à base d'huile de palme avec capture de méthane;;combustible gazeux,biopropane,HVO,gaz,huiles végétales hydro-traitées,huile de palme;kgCO2e/kg;;20;0,899;Combustibles ; Organiques ; Gazeux;;
Biopropane;à base d'huile de palme avec capture de méthane;;combustible gazeux,biopropane,HVO,gaz,huiles végétales hydro-traitées,huile de palme;kgCO2e/litre;;20;0,466;Combustibles ; Organiques ; Gazeux;;
Biopropane;à base d'huile de palme sans capture de méthane;;combustible gazeux,biopropane,HVO,gaz,huiles végétales hydro-traitées,huile de palme;kgCO2e/kg;;20;1,07;Combustibles ; Organiques ; Gazeux;;
Biopropane;à base d'huile de palme sans capture de méthane;;combustible gazeux,biopropane,HVO,gaz,huiles végétales hydro-traitées,huile de palme;kgCO2e/litre;;20;0,555;Combustibles ; Organiques ; Gazeux;;
Biopropane;à base d'huile de tournesol;;combustible gazeux,tournesol,biopropane,HVO,gaz,huiles végétales hydro-traitées;kgCO2e/kg;;20;1,23;Combustibles ; Organiques ; Gazeux;;
Biopropane;à base d'huile de tournesol;;combustible gazeux,tournesol,biopropane,HVO,gaz,huiles végétales hydro-traitées;kgCO2e/litre;;20;0,639;Combustibles ; Organiques ; Gazeux;;
Biopropane;à base d'huiles de cuisson;;combustible gazeux,biopropane,HVO,gaz,huiles végétales hydro-traitées,huile de cuisson;kgCO2e/kg;;20;0,212;Combustibles ; Organiques ; Gazeux;;
Biopropane;à base d'huiles de cuisson;;combustible gazeux,biopropane,HVO,gaz,huiles végétales hydro-traitées,huile de cuisson;kgCO2e/litre;;20;0,111;Combustibles ; Organiques ; Gazeux;;
Biopropane;à base de distillat d'acides gras d'huile de palme comme résidu;;combustible gazeux,biopropane,HVO,gaz,huiles végétales hydro-traitées,huile de palme;kgCO2e/kg;;20;0,181;Combustibles ; Organiques ; Gazeux;;
