Structure;Poste;Nom base français;Spécificité 1;Spécificité 2;Tags français;Unité français;Localisation géographique;Incertitude;Total poste non décomposé;Code de la catégorie;Sous catégorie 1;Sous catégorie 2;Sous catégorie 3;Sous catégorie 4
élément non décomposé;Poste 9;Acide chlorhydrique;/;/;acide chlorhydrique;kgCO2e/tonne;France continentale;50;1199;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Produits chimiques de base;
élément non décomposé;Poste 9;Acide citrique, monohydrate;/;/;viticulture,acide citrique,monohydrate;kgCO2e/tonne;France continentale;50;3300;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Produits chimiques spécifiques à la viticulture
élément non décomposé;Poste 9;Acide D,L tartrique;/;/;viticulture,acide tartrique;kgCO2e/tonne;France continentale;50;3300;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Produits chimiques spécifiques à la viticulture
élément non décomposé;Poste 9;Acide nitrique 50%;/;/;acide nitrique;kgCO2e/tonne;France continentale;100;3180;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Produits chimiques de base;
élément non décomposé;Poste 9;Acide phosphorique;/;/;acide phosphorique;kgCO2e/tonne;France continentale;50;1424;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Produits chimiques de base;
élément non décomposé;Poste 9;Acide sorbique;/;/;viticulture,acide sorbique;kgCO2e/tonne;France continentale;50;807;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Produits chimiques spécifiques à la viticulture
élément non décomposé;Poste 9;Acide sulfurique;/;/;acide sulfurique;kgCO2e/tonne;France continentale;50;148;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Produits chimiques de base;
élément non décomposé;Poste 9;Acier ou fer blanc;/;neuf;Métaux,Acier,fer blanc;kgCO2e/tonne;France continentale;10;2211;Achats de biens ; Métaux et produits métalliques ; Acier;;
élément non décomposé;Poste 9;Acier ou fer blanc;/;recyclé;Métaux,Acier,fer blanc;kgCO2e/tonne;France continentale;10;938;Achats de biens ; Métaux et produits métalliques ; Acier;;
élément décomposé par gaz;Poste 10;Aimant;AlNiCo;;base IMPACT,aimant;kgCO2e/kg;Monde;;26;Achats de biens ; Machines et équipements ; Equipements électriques;;
élément décomposé par gaz;Poste 10;Aimant;NdFeB;;base IMPACT,aimant;kgCO2e/kg;Monde;;33,5;Achats de biens ; Machines et équipements ; Equipements électriques;;
élément non décomposé;Poste 9;Alcool;/;/;Alcool;kgCO2e/tonne;France continentale;25;1467;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Produits chimiques de base;
élément non décomposé;Poste 9;Alimentation;/;"Régime alimentaire ""classique""";repas,alimentation;kgCO2e/personne.mois;France continentale;50;136;Achats de services ; Restauration;;;
élément non décomposé;Poste 9;Alimentation;/;"Régime alimentaire ""flexitarien""";repas,alimentation;kgCO2e/personne.mois;France continentale;50;85,7;Achats de services ; Restauration;;;
élément non décomposé;Poste 9;Aluminium;/;neuf;Métaux,Aluminium;kgCO2e/tonne;France continentale;30;7803;Achats de biens ; Métaux et produits métalliques ; Aluminium;;
élément non décomposé;Poste 9;Aluminium;/;recyclé;Métaux,Aluminium;kgCO2e/tonne;France continentale;30;562;Achats de biens ; Métaux et produits métalliques ; Aluminium;;
élément décomposé par gaz;Poste 9;Ammoniaque anhydre;/;/;engrais,fertilisant,ammoniaque anhydre;kgCO2e/tonne de N;Europe;30;2982;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément décomposé par gaz;Poste 9;Ammonitrate;/;0,335;engrais,fertilisant,ammonitrate;kgCO2e/tonne de N;Europe;30;3773;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément décomposé par gaz;Poste 9;Ammonitrate;/;calcaire 30% :CAN;engrais,fertilisant,ammonitrate;kgCO2e/tonne de N;Europe;30;3956;Achats de biens ; Plastiques et produits chimiques ; Produits chimiques ; Engrais, phytosanitaires... ; Engrais et composés azotés
élément décomposé par poste et par gaz;Poste 10;Appareil à raclettes 6-8p;;;Cuisine,Raclette,equipement,Appareil à raclettes;kgCO2e/unité;France continentale;50;16,8;Achats de biens ; Machines et équipements ; Electroménager;;
élément décomposé par poste;Poste 10;Appareil photo;Compact;;photographie,Compact,informatique,numérique,Appareil photo,loisir;kgCO2e/unité;France continentale;50;24,4;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste;Poste 10;Appareil photo;Hybride;;photographie,hybride,informatique,numérique,Appareil photo,loisir;kgCO2e/unité;France continentale;50;29;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste;Poste 10;Appareil photo;Reflex;;loisir,photographie,informatique,numérique,Appareil photo,Reflex;kgCO2e/unité;France continentale;50;30,6;Achats de biens ; Machines et équipements ; Informatique et équipements électroniques;;
élément décomposé par poste et par gaz;Poste 10;Armoire;représentative;;mobilier,equipement,représentative,armoire;kgCO2e/unité;France continentale;20;907;Achats de biens ; Mobilier;;;
élément décomposé par poste;Poste 12;Articulé;34 à 40 tonnes;Diesel routier, incorporation 7 % de biodiesel;camion,fret,Articulé;kgCO2e/t.km;France continentale;70;0,0823;Transport de marchandises ; Routier ; Par catégorie ; Articulé par motorisation;
élément décomposé par poste;Poste 12;Articulé;34 à 40 tonnes;GNC;camion,fret,Articulé;kgCO2e/t.km;France continentale;70;0,0798;Transport de marchandises ; Routier ; Par catégorie ; Articulé par motorisation;
élément décomposé par poste;Poste 12;Articulé;34 à 40 tonnes;GNL;camion,fret,Articulé;kgCO2e/t.km;France continentale;70;0,0918;Transport de marchandises ; Routier ; Par catégorie ; Articulé par motorisation;
élément décomposé par poste;Poste 12;Articulé;34 à 40 tonnes;GNL, incorporation bio 20%;camion,fret,Articulé;kgCO2e/t.km;France continentale;70;0,0788;Transport de marchandises ; Routier ; Par catégorie ; Articulé par motorisation;
élément décomposé par poste;Poste 12;Articulé;40 à 44 tonnes;Diesel routier, incorporation 7 % de biodiesel;camion,fret,Articulé;kgCO2e/t.km;France continentale;70;0,0711;Transport de marchandises ; Routier ; Par catégorie ; Articulé par motorisation;
élément décomposé par poste;Poste 12;Articulé;44 à 60 tonnes;Diesel routier, incorporation 7 % de biodiesel;camion,fret,Articulé;kgCO2e/t.km;France continentale;70;0,0674;Transport de marchandises ; Routier ; Par catégorie ; Articulé par motorisation;
élément décomposé par poste;Poste 12;Articulé;60 à 72 tonnes;Diesel routier, incorporation 7 % de biodiesel;camion,fret,Articulé;kgCO2e/t.km;France continentale;70;0,0675;Transport de marchandises ; Routier ; Par catégorie ; Articulé par motorisation;
élément décomposé par poste et par gaz;Poste 12;Articulé;90 m3;;déménagement,camion,fret,Articulé;kgCO2e/m3.km;France continentale;70;0,0347;Transport de marchandises ; Routier ; Par usage ; Déménagement;
